Protein1,Protein2,InteractionProbability
EXOC3_HUMAN,EXOC4_HUMAN,0.96
ATG12_HUMAN,A16L1_HUMAN,0.9
PCIF1_HUMAN,RPB1_HUMAN,0.89
PP1RA_HUMAN,PP1A_HUMAN,0.9
HSPB8_HUMAN,HSPB8_HUMAN,0.95
IFT81_HUMAN,IFT88_HUMAN,0.87
TR10B_HUMAN,CASP8_HUMAN,0.89
CDK7_HUMAN,TF2H3_HUMAN,0.95
NAGK_HUMAN,LNX1_HUMAN,0.87
AKAP4_HUMAN,KAP0_HUMAN,0.94
CSN6_HUMAN,CSN5_HUMAN,0.99
PTN12_HUMAN,PPIP1_HUMAN,0.97
CHM4B_HUMAN,C2D1A_HUMAN,0.86
ITBP1_HUMAN,KRIT1_HUMAN,0.9
WASL_HUMAN,PROF1_HUMAN,0.88
MYC_HUMAN,CDA7L_HUMAN,0.87
GLNA_HUMAN,GLNA_HUMAN,0.89
FBW1A_HUMAN,KEAP1_HUMAN,0.86
BMR1A_HUMAN,BMR1A_HUMAN,0.89
KLRD1_HUMAN,NKG2A_HUMAN,0.9
PATZ1_HUMAN,RNF4_HUMAN,0.89
PARD3_HUMAN,DCAF7_HUMAN,0.86
PSA7_HUMAN,PSA7_HUMAN,0.93
PGBM_HUMAN,FINC_HUMAN,0.88
CASL_HUMAN,CRK_HUMAN,0.9
DI3L1_HUMAN,EXOS6_HUMAN,0.86
TYY1_HUMAN,INO80_HUMAN,0.89
H4_HUMAN,RBBP4_HUMAN,0.94
CASP7_HUMAN,BIRC2_HUMAN,0.89
HSC20_HUMAN,ISCU_HUMAN,0.95
BRCC3_HUMAN,F175A_HUMAN,0.89
TP53B_HUMAN,H4_HUMAN,0.9
NKG2D_HUMAN,N2DL4_HUMAN,0.86
CASP1_HUMAN,CASP1_HUMAN,0.9
MYC_HUMAN,PYRG1_HUMAN,0.86
TAF13_HUMAN,TBP_HUMAN,0.96
MINT_HUMAN,NCOR2_HUMAN,0.9
TCL1A_HUMAN,TCL1A_HUMAN,0.93
WDR48_HUMAN,PHLP1_HUMAN,0.88
BBS1_HUMAN,PTHB1_HUMAN,0.89
MBD2_HUMAN,CHD3_HUMAN,0.89
OCRL_HUMAN,AP2A1_HUMAN,0.87
SH2B1_HUMAN,NTRK1_HUMAN,0.86
RRN3_HUMAN,RPA1_HUMAN,0.88
FANCM_HUMAN,FANCE_HUMAN,0.87
PHKG2_HUMAN,KPB2_HUMAN,0.87
CKS1_HUMAN,CDN1B_HUMAN,0.9
MDM2_HUMAN,ESR1_HUMAN,0.89
MED19_HUMAN,MED15_HUMAN,0.87
RENT1_HUMAN,REN3B_HUMAN,0.9
SMD2_HUMAN,SMN_HUMAN,0.9
PSA5_HUMAN,PSDE_HUMAN,0.89
TSC2_HUMAN,AAPK1_HUMAN,0.88
DBF4A_HUMAN,CDC7_HUMAN,0.9
TR13B_HUMAN,CAMLG_HUMAN,0.89
NEDD4_HUMAN,SCNNG_HUMAN,0.9
EIF3I_HUMAN,EIF3A_HUMAN,1.0
BRE_HUMAN,BRCC3_HUMAN,0.9
CD4_HUMAN,CD4_HUMAN,0.9
CSN5_HUMAN,BTBD2_HUMAN,0.87
RPC4_HUMAN,RPC7_HUMAN,0.87
MED26_HUMAN,RPB3_HUMAN,0.86
TRAF2_HUMAN,UBP2_HUMAN,0.86
PRKN2_HUMAN,PSA7_HUMAN,0.88
3BP2_HUMAN,SH3K1_HUMAN,0.89
AIP_HUMAN,TEBP_HUMAN,0.87
BRAP_HUMAN,BRAP_HUMAN,0.94
PRAF1_HUMAN,VAMP2_HUMAN,0.87
TRAF6_HUMAN,SQSTM_HUMAN,0.89
LRRK2_HUMAN,CHIP_HUMAN,0.88
TAF1_HUMAN,RB_HUMAN,0.9
RIPK2_HUMAN,BIRC2_HUMAN,0.89
PLK1_HUMAN,MCM2_HUMAN,0.86
CASPA_HUMAN,CASP8_HUMAN,0.9
MED10_HUMAN,MED17_HUMAN,0.9
DAB1_HUMAN,LRP1_HUMAN,0.94
USF2_HUMAN,USF2_HUMAN,0.9
APC16_HUMAN,ANC2_HUMAN,0.89
RPA1_HUMAN,RPAB1_HUMAN,0.91
FBRL_HUMAN,SMN_HUMAN,0.9
DAB2_HUMAN,LRP2_HUMAN,0.89
ADAP1_HUMAN,KPCI_HUMAN,0.88
BRCA1_HUMAN,CLSPN_HUMAN,0.86
GEMI5_HUMAN,SMD3_HUMAN,0.88
HDAC5_HUMAN,TBL1X_HUMAN,0.87
ANM5_HUMAN,H4_HUMAN,0.89
IPSP_HUMAN,UROK_HUMAN,0.87
SMAD4_HUMAN,SKI_HUMAN,0.9
PP1A_HUMAN,RMP_HUMAN,0.92
RPAB2_HUMAN,RPB3_HUMAN,0.99
MEPCE_HUMAN,LARP7_HUMAN,0.89
IKBA_HUMAN,HIF1N_HUMAN,0.87
MPDZ_HUMAN,5HT2C_HUMAN,0.96
PP1A_HUMAN,WBP11_HUMAN,0.94
SKI_HUMAN,SKI_HUMAN,0.88
NOL3_HUMAN,CASP8_HUMAN,0.95
EXOS4_HUMAN,EXOS5_HUMAN,0.94
ZHX1_HUMAN,NFYA_HUMAN,0.88
TBP_HUMAN,FOS_HUMAN,0.9
FBX33_HUMAN,SKP1_HUMAN,0.93
ZHANG_HUMAN,HCFC1_HUMAN,0.9
SCF_HUMAN,KIT_HUMAN,0.9
RIPK1_HUMAN,RIPK1_HUMAN,0.9
H4_HUMAN,MCM6_HUMAN,0.88
GOSR1_HUMAN,SC22B_HUMAN,0.88
H4_HUMAN,CENPA_HUMAN,0.9
H4_HUMAN,HAT1_HUMAN,0.96
RBBP4_HUMAN,P66B_HUMAN,0.9
TGBR3_HUMAN,TGFB1_HUMAN,0.96
APC1_HUMAN,BUB1B_HUMAN,0.87
SNRPA_HUMAN,U2AF2_HUMAN,0.87
CNRG_HUMAN,DYN2_HUMAN,0.92
IGHG1_HUMAN,IGKC_HUMAN,0.88
STX12_HUMAN,SNP23_HUMAN,0.88
CP110_HUMAN,CEP97_HUMAN,0.87
CHM2A_HUMAN,CHMP3_HUMAN,0.99
HDAC2_HUMAN,SIN3B_HUMAN,0.87
RFC2_HUMAN,RFC4_HUMAN,0.99
TAF10_HUMAN,TAF5_HUMAN,0.92
RB_HUMAN,BRCA1_HUMAN,0.9
H4_HUMAN,RBBP4_HUMAN,0.94
ODPX_HUMAN,ODPB_HUMAN,0.87
H4_HUMAN,MCM2_HUMAN,0.89
EXOS6_HUMAN,EXOS9_HUMAN,0.88
CTF18_HUMAN,DCC1_HUMAN,0.96
ZHANG_HUMAN,ZHANG_HUMAN,0.89
CD244_HUMAN,SH21B_HUMAN,0.89
AP3D1_HUMAN,AP3S2_HUMAN,0.86
NCOR1_HUMAN,VDR_HUMAN,0.89
AEBP2_HUMAN,EED_HUMAN,0.9
XRCC4_HUMAN,NHEJ1_HUMAN,0.9
CUL4B_HUMAN,CSN8_HUMAN,0.87
BLNK_HUMAN,CD79A_HUMAN,0.89
UHRF2_HUMAN,PCNP_HUMAN,0.86
RRAGC_HUMAN,LTOR2_HUMAN,0.87
RMI1_HUMAN,TOP3A_HUMAN,0.9
NAB1_HUMAN,EGR1_HUMAN,0.88
OPRM_HUMAN,RANB9_HUMAN,0.88
MED10_HUMAN,MED30_HUMAN,0.89
MED29_HUMAN,MED18_HUMAN,0.89
UBC9_HUMAN,UBC9_HUMAN,0.93
ERO1B_HUMAN,PDIA1_HUMAN,0.88
PRAME_HUMAN,ELOC_HUMAN,0.88
I2BP1_HUMAN,IRF2_HUMAN,0.88
IL1AP_HUMAN,IL1R2_HUMAN,0.88
TF2H5_HUMAN,CDK7_HUMAN,0.89
MERL_HUMAN,CD44_HUMAN,0.88
RS12_HUMAN,RS6_HUMAN,0.86
POMP_HUMAN,PSA7_HUMAN,0.86
MED1_HUMAN,MED4_HUMAN,0.87
ING1_HUMAN,PCNA_HUMAN,0.88
PRP4_HUMAN,LSM4_HUMAN,0.87
PSB7_HUMAN,PSB2_HUMAN,0.89
IL6RB_HUMAN,CNTF_HUMAN,0.89
MED29_HUMAN,MED27_HUMAN,0.86
MCMBP_HUMAN,MCM6_HUMAN,0.89
TBP_HUMAN,T2EA_HUMAN,0.87
DAXX_HUMAN,H4_HUMAN,0.9
PCNA_HUMAN,GA45A_HUMAN,0.97
F175A_HUMAN,BRCA1_HUMAN,0.9
KC1E_HUMAN,FA83H_HUMAN,0.87
BUB1_HUMAN,APC_HUMAN,0.87
EXOSX_HUMAN,RENT2_HUMAN,0.86
RPP25_HUMAN,POP1_HUMAN,0.88
PDLI5_HUMAN,CAC1B_HUMAN,0.87
ATRX_HUMAN,RAD51_HUMAN,0.9
SMCA4_HUMAN,RPB1_HUMAN,0.86
CSN6_HUMAN,CUL5_HUMAN,0.88
MED10_HUMAN,MED15_HUMAN,0.9
XRCC4_HUMAN,XRCC4_HUMAN,0.9
PTN1_HUMAN,IRS1_HUMAN,0.98
SKP1_HUMAN,TTC9C_HUMAN,0.86
SMCA4_HUMAN,STK11_HUMAN,0.9
TOLIP_HUMAN,IRAK1_HUMAN,0.94
GGA3_HUMAN,MPRI_HUMAN,0.9
PSA3_HUMAN,PSB4_HUMAN,0.89
NCOA3_HUMAN,PPARG_HUMAN,0.89
ABC3G_HUMAN,ABC3G_HUMAN,0.9
LRRK2_HUMAN,LRP6_HUMAN,0.87
SLX1_HUMAN,XPF_HUMAN,0.88
SYJ2B_HUMAN,AVR2A_HUMAN,0.87
IN80E_HUMAN,TFPT_HUMAN,0.87
APOE_HUMAN,A4_HUMAN,0.87
MED19_HUMAN,RPB3_HUMAN,0.86
PRS4_HUMAN,PSD11_HUMAN,0.89
CAV1_HUMAN,ANDR_HUMAN,0.89
A4_HUMAN,PSN1_HUMAN,0.89
BAG1_HUMAN,BCL2_HUMAN,0.87
DPY30_HUMAN,DPY30_HUMAN,0.9
MAGI1_HUMAN,LRP2_HUMAN,0.87
BAKOR_HUMAN,NRBF2_HUMAN,0.88
CSN5_HUMAN,KLH13_HUMAN,0.86
THOC1_HUMAN,RB_HUMAN,0.88
BRCA1_HUMAN,BRCA1_HUMAN,0.9
IFT20_HUMAN,MIPT3_HUMAN,0.87
PR40A_HUMAN,MECP2_HUMAN,0.9
PIM1_HUMAN,MDM2_HUMAN,0.86
WBP4_HUMAN,RSMB_HUMAN,0.95
PRP6_HUMAN,ANDR_HUMAN,0.88
TIRAP_HUMAN,IRAK2_HUMAN,0.86
RPAB2_HUMAN,RPC10_HUMAN,0.88
TIF1B_HUMAN,RRP1B_HUMAN,0.88
BCAS3_HUMAN,CP070_HUMAN,0.89
WASL_HUMAN,WIPF1_HUMAN,0.99
CDN1C_HUMAN,CCND1_HUMAN,0.88
PARP4_HUMAN,MVP_HUMAN,0.89
ELP2_HUMAN,ELP4_HUMAN,0.89
C2TA_HUMAN,ZXDC_HUMAN,0.88
NEBL_HUMAN,ZYX_HUMAN,0.88
SYK_HUMAN,RSSA_HUMAN,0.9
IKKB_HUMAN,NCOA3_HUMAN,0.9
CP135_HUMAN,PIBF1_HUMAN,0.87
EXOS7_HUMAN,EXOS4_HUMAN,0.9
TP53B_HUMAN,H4_HUMAN,0.9
DPOLB_HUMAN,PCNA_HUMAN,0.86
PTN18_HUMAN,PPIP1_HUMAN,0.99
RINI_HUMAN,ANGI_HUMAN,0.9
CIB1_HUMAN,TERT_HUMAN,0.86
NUCB1_HUMAN,PGH2_HUMAN,0.86
RB_HUMAN,CDK6_HUMAN,0.94
DICER_HUMAN,TRBP2_HUMAN,0.9
DPH3_HUMAN,SRGEF_HUMAN,0.93
1433E_HUMAN,STAC_HUMAN,0.87
ARID2_HUMAN,SMCE1_HUMAN,0.88
DSN1_HUMAN,NSL1_HUMAN,0.9
RPB1_HUMAN,ZNF74_HUMAN,0.87
TRAF3_HUMAN,TNR8_HUMAN,0.9
H4_HUMAN,MCM6_HUMAN,0.88
HAUS2_HUMAN,HAUS7_HUMAN,0.9
TACC1_HUMAN,LSM7_HUMAN,0.89
SMC2_HUMAN,CND1_HUMAN,0.94
MED28_HUMAN,MED22_HUMAN,0.87
CLCA_HUMAN,CLH1_HUMAN,0.9
CCHCR_HUMAN,STAR_HUMAN,0.89
IRS4_HUMAN,CRK_HUMAN,0.9
NR0B2_HUMAN,PPARG_HUMAN,0.89
H4_HUMAN,CENPA_HUMAN,0.9
CLUS_HUMAN,CLUS_HUMAN,0.86
STRN4_HUMAN,PHOCN_HUMAN,0.87
CBX5_HUMAN,H4_HUMAN,0.9
DCNL1_HUMAN,UBC12_HUMAN,0.9
TERA_HUMAN,CUL1_HUMAN,0.89
ZHX3_HUMAN,ZHX3_HUMAN,0.88
TYY1_HUMAN,ARP5_HUMAN,0.88
PSB8_HUMAN,PSB1_HUMAN,0.89
PINX1_HUMAN,TERT_HUMAN,0.95
ANRA2_HUMAN,LRP2_HUMAN,0.89
SAE1_HUMAN,SUMO3_HUMAN,0.88
SOCS3_HUMAN,INSR_HUMAN,0.88
CDC73_HUMAN,CTNB1_HUMAN,0.89
PTN6_HUMAN,LYN_HUMAN,0.89
ZER1_HUMAN,CUL2_HUMAN,0.89
RBM39_HUMAN,SRPK2_HUMAN,0.9
VCIP1_HUMAN,TERA_HUMAN,0.89
SMC4_HUMAN,CND2_HUMAN,0.95
TPP1_HUMAN,CTC1_HUMAN,0.87
EED_HUMAN,HDAC2_HUMAN,0.96
SPTB2_HUMAN,CDC5L_HUMAN,0.87
MYC_HUMAN,K1967_HUMAN,0.9
CSKI1_HUMAN,CSKP_HUMAN,0.89
TNIP2_HUMAN,M3K8_HUMAN,0.9
XIAP_HUMAN,XIAP_HUMAN,0.9
NMI_HUMAN,STA5A_HUMAN,0.89
UBP7_HUMAN,TRI27_HUMAN,0.87
ESYT2_HUMAN,ESYT2_HUMAN,0.86
TF2B_HUMAN,RPB1_HUMAN,0.96
EIF3K_HUMAN,EIF3B_HUMAN,0.96
FANCF_HUMAN,FANCE_HUMAN,0.89
INT3_HUMAN,SOSB1_HUMAN,0.89
FAP24_HUMAN,FANCM_HUMAN,0.9
MED10_HUMAN,MED29_HUMAN,0.9
CCNE1_HUMAN,FOXM1_HUMAN,0.88
FBXW8_HUMAN,CUL7_HUMAN,0.89
GTF2I_HUMAN,MYC_HUMAN,0.89
PDS5B_HUMAN,RAD21_HUMAN,0.87
FOS_HUMAN,CENPO_HUMAN,0.86
CSN6_HUMAN,CSN1_HUMAN,0.97
PPIL2_HUMAN,ZN830_HUMAN,0.87
NEK2_HUMAN,CP250_HUMAN,0.87
FBW1A_HUMAN,NUDC_HUMAN,0.88
CBP_HUMAN,DAXX_HUMAN,0.86
PSN1_HUMAN,CTND1_HUMAN,0.9
ZN423_HUMAN,PARP1_HUMAN,0.89
RB_HUMAN,DNMT1_HUMAN,0.9
SIKE1_HUMAN,SLMAP_HUMAN,0.87
ATF3_HUMAN,JUNB_HUMAN,0.88
ERBB3_HUMAN,NRG1_HUMAN,0.9
DAXX_HUMAN,H4_HUMAN,0.9
ATPA_HUMAN,ATPO_HUMAN,0.92
MYOZ2_HUMAN,TELT_HUMAN,0.87
SQSTM_HUMAN,ARIP4_HUMAN,0.88
SYNEM_HUMAN,DTNA_HUMAN,0.88
BIN1_HUMAN,MYC_HUMAN,0.9
MED28_HUMAN,MED20_HUMAN,0.89
NCOA3_HUMAN,ANDR_HUMAN,0.9
MD2L2_HUMAN,FZR_HUMAN,0.88
RPB1_HUMAN,CSTF3_HUMAN,0.86
DPOD3_HUMAN,REV1_HUMAN,0.87
MED29_HUMAN,MED7_HUMAN,0.87
BIRC5_HUMAN,CASP9_HUMAN,0.88
UHRF2_HUMAN,RB_HUMAN,0.88
PSMD6_HUMAN,PSD12_HUMAN,0.96
SMG8_HUMAN,SMG9_HUMAN,0.89
FACD2_HUMAN,NBN_HUMAN,0.88
GCP3_HUMAN,TBG2_HUMAN,0.91
5HT1A_HUMAN,5HT1A_HUMAN,0.86
FOXO3_HUMAN,CBP_HUMAN,0.89
IF4A3_HUMAN,REN3B_HUMAN,0.9
TCPB_HUMAN,TCPE_HUMAN,0.89
RPA1_HUMAN,RPA2_HUMAN,0.94
RA51D_HUMAN,XRCC2_HUMAN,0.97
CRK_HUMAN,BCAR1_HUMAN,0.99
SYNJ1_HUMAN,SH3G1_HUMAN,0.92
MCMBP_HUMAN,MCM5_HUMAN,0.89
MED27_HUMAN,MED22_HUMAN,0.87
PSA1_HUMAN,PSB2_HUMAN,0.99
TPC6B_HUMAN,TPC2A_HUMAN,0.87
ATX2L_HUMAN,TPOR_HUMAN,0.86
SET1A_HUMAN,WDR82_HUMAN,0.88
TAF5_HUMAN,TAF6_HUMAN,0.99
SRBP1_HUMAN,LMNA_HUMAN,0.9
MED9_HUMAN,MED25_HUMAN,0.86
SIR1_HUMAN,WRN_HUMAN,0.88
PSD13_HUMAN,PSMD2_HUMAN,0.94
HDAC6_HUMAN,TBA1B_HUMAN,0.86
A4_HUMAN,PREP_HUMAN,0.89
ZAP70_HUMAN,CRK_HUMAN,0.87
PHF6_HUMAN,RBBP4_HUMAN,0.87
ASF1A_HUMAN,RBBP4_HUMAN,0.87
CTNA1_HUMAN,CTNA1_HUMAN,0.95
KAT5_HUMAN,A4_HUMAN,0.89
UBP15_HUMAN,PRP31_HUMAN,0.87
IL6RA_HUMAN,IL6_HUMAN,0.9
PCM1_HUMAN,PIBF1_HUMAN,0.86
WIPF1_HUMAN,WASP_HUMAN,0.99
EIF3F_HUMAN,EIF3D_HUMAN,0.92
MLF2_HUMAN,AIFM1_HUMAN,0.87
CBP_HUMAN,SRF_HUMAN,0.87
CTTB2_HUMAN,STRN3_HUMAN,0.86
S10A8_HUMAN,S10A8_HUMAN,0.96
CAF1A_HUMAN,RBBP4_HUMAN,0.94
EID1_HUMAN,RB_HUMAN,0.9
CAF1A_HUMAN,CAF1B_HUMAN,0.96
DSN1_HUMAN,CBX5_HUMAN,0.89
AP1B1_HUMAN,AP1S1_HUMAN,0.92
ARPC4_HUMAN,ARP5L_HUMAN,0.89
BATF3_HUMAN,ATF2_HUMAN,0.88
ANM5_HUMAN,H4_HUMAN,0.89
PRP19_HUMAN,PRP19_HUMAN,0.88
FANCA_HUMAN,FANCF_HUMAN,0.9
PSDE_HUMAN,CS060_HUMAN,0.86
EIF3J_HUMAN,EIF3A_HUMAN,0.9
M4K1_HUMAN,CRK_HUMAN,0.9
FBN1_HUMAN,FBN1_HUMAN,0.88
MEP50_HUMAN,SMD1_HUMAN,0.87
DX39B_HUMAN,THOC4_HUMAN,0.89
RUVB2_HUMAN,IN80E_HUMAN,0.89
H4_HUMAN,MCM5_HUMAN,0.93
BATF3_HUMAN,JUNB_HUMAN,0.88
STRN3_HUMAN,TCPH_HUMAN,0.87
ATR_HUMAN,BRCA1_HUMAN,0.9
VCIP1_HUMAN,NSF1C_HUMAN,0.87
TRIM1_HUMAN,TRIM1_HUMAN,0.87
HSF1_HUMAN,HSF1_HUMAN,0.88
HAUS6_HUMAN,HAUS5_HUMAN,0.88
BBS4_HUMAN,BBS2_HUMAN,0.89
IRF4_HUMAN,BCL6_HUMAN,0.88
SH3K1_HUMAN,SH3K1_HUMAN,0.96
IL3RB_HUMAN,CSF2_HUMAN,0.9
EST1_HUMAN,EST1_HUMAN,0.89
FA10_HUMAN,FA8_HUMAN,0.86
PAXI1_HUMAN,TP53B_HUMAN,0.9
MED28_HUMAN,MED1_HUMAN,0.89
DDB1_HUMAN,DCAF6_HUMAN,0.88
CYTA_HUMAN,CATB_HUMAN,0.9
IQGA1_HUMAN,CTNB1_HUMAN,0.9
LRP6_HUMAN,FZD8_HUMAN,0.86
STK24_HUMAN,PHOCN_HUMAN,0.89
RPP38_HUMAN,POP1_HUMAN,0.89
MTBP_HUMAN,MDM2_HUMAN,0.89
DDB1_HUMAN,DDB2_HUMAN,0.9
H4_HUMAN,MCM5_HUMAN,0.93
KHDR1_HUMAN,RASA1_HUMAN,0.9
MCM7_HUMAN,MAT1_HUMAN,0.89
IF4G2_HUMAN,IF4E_HUMAN,0.86
XPA_HUMAN,RFA2_HUMAN,0.9
CITE2_HUMAN,AP2B_HUMAN,0.87
SMG1_HUMAN,TTI1_HUMAN,0.88
TSC1_HUMAN,TSC2_HUMAN,0.97
M3K14_HUMAN,TRAF2_HUMAN,0.9
ANM5_HUMAN,H4_HUMAN,0.89
SEH1_HUMAN,NUP85_HUMAN,0.88
ARP3B_HUMAN,ARPC4_HUMAN,0.86
RL11_HUMAN,PML_HUMAN,0.89
BI2L1_HUMAN,EPS8_HUMAN,0.89
PTPS_HUMAN,PTPS_HUMAN,0.99
I13R1_HUMAN,IL13_HUMAN,0.9
RPAP3_HUMAN,RMP_HUMAN,0.87
SGCA_HUMAN,PGS1_HUMAN,0.88
CDC5L_HUMAN,DDX41_HUMAN,0.86
LYOX_HUMAN,ELN_HUMAN,0.89
NCOA3_HUMAN,CBP_HUMAN,0.96
BBS2_HUMAN,BBS5_HUMAN,0.88
PHC1_HUMAN,PHC2_HUMAN,0.88
PMEL_HUMAN,PMEL_HUMAN,0.89
STX6_HUMAN,SNP23_HUMAN,0.89
UBE3C_HUMAN,PSMD2_HUMAN,0.88
TAF10_HUMAN,TAF13_HUMAN,0.96
TELO2_HUMAN,TTI2_HUMAN,0.87
DCP2_HUMAN,RENT2_HUMAN,0.86
CDK19_HUMAN,MED30_HUMAN,0.86
MARK2_HUMAN,ARHG2_HUMAN,0.88
BRD2_HUMAN,H4_HUMAN,0.97
TTHY_HUMAN,TTHY_HUMAN,0.99
H4_HUMAN,CENPA_HUMAN,0.9
SL9A1_HUMAN,CHP2_HUMAN,0.88
MAGD1_HUMAN,XIAP_HUMAN,0.89
TBK1_HUMAN,TANK_HUMAN,0.97
GATA4_HUMAN,FOG2_HUMAN,0.9
NCOA6_HUMAN,PRKDC_HUMAN,0.87
MED26_HUMAN,RPAB2_HUMAN,0.86
HNF4A_HUMAN,MED14_HUMAN,0.88
DDX20_HUMAN,SMN_HUMAN,0.97
CSN1_HUMAN,CSN3_HUMAN,0.99
MSX1_HUMAN,MSX1_HUMAN,0.87
IPO13_HUMAN,UBC9_HUMAN,0.89
CBX5_HUMAN,NIPBL_HUMAN,0.86
SMCA4_HUMAN,SMCE1_HUMAN,0.9
CD79B_HUMAN,CD79A_HUMAN,0.86
UB2L3_HUMAN,UBE3A_HUMAN,0.9
TYY1_HUMAN,ACL6A_HUMAN,0.89
UBP7_HUMAN,DNMT1_HUMAN,0.9
PSF1_HUMAN,PSF3_HUMAN,0.96
HCFC1_HUMAN,SP1_HUMAN,0.9
HJURP_HUMAN,H4_HUMAN,0.88
MYC_HUMAN,TF3C3_HUMAN,0.88
STK36_HUMAN,GLI1_HUMAN,0.87
HSPB1_HUMAN,HSPB8_HUMAN,0.96
TS101_HUMAN,CEP55_HUMAN,0.9
TNFL6_HUMAN,FNBP1_HUMAN,0.89
CALR_HUMAN,A4_HUMAN,0.87
CEGT_HUMAN,RTN1_HUMAN,0.86
EWS_HUMAN,ZN165_HUMAN,0.87
NHLC1_HUMAN,EPM2A_HUMAN,0.89
CDK7_HUMAN,TF2H1_HUMAN,0.9
SKAP1_HUMAN,FYB_HUMAN,0.9
RL10_HUMAN,RL23A_HUMAN,0.92
LIN54_HUMAN,MYBB_HUMAN,0.87
CDK19_HUMAN,MED6_HUMAN,0.86
WRN_HUMAN,XRCC6_HUMAN,0.89
SIN3A_HUMAN,RBBP4_HUMAN,0.9
TNF6B_HUMAN,TNFL6_HUMAN,0.89
TPX2_HUMAN,AURKA_HUMAN,0.9
JAK2_HUMAN,STA5A_HUMAN,0.9
BRCA1_HUMAN,RL31_HUMAN,0.88
RARA_HUMAN,TRIP4_HUMAN,0.87
MD2BP_HUMAN,CDC20_HUMAN,0.88
SIN3A_HUMAN,SP130_HUMAN,0.86
RPAB4_HUMAN,RPB2_HUMAN,0.91
RFC3_HUMAN,RFC1_HUMAN,0.99
RENT2_HUMAN,SMG1_HUMAN,0.89
PSMD9_HUMAN,TFE2_HUMAN,0.86
1433E_HUMAN,ATX1_HUMAN,0.88
MED29_HUMAN,MED21_HUMAN,0.9
KIF3B_HUMAN,KIFA3_HUMAN,0.96
ICAM5_HUMAN,PSN1_HUMAN,0.86
PEX26_HUMAN,PEX6_HUMAN,0.89
FOS_HUMAN,FOS_HUMAN,0.88
CEBPA_HUMAN,DDIT3_HUMAN,0.86
EDC3_HUMAN,EDC3_HUMAN,0.87
PRC1_HUMAN,PRC1_HUMAN,0.88
SIM1_HUMAN,ARNT_HUMAN,0.96
I22R1_HUMAN,IL22_HUMAN,0.9
NEP_HUMAN,NEP_HUMAN,0.86
PAAF1_HUMAN,PSDE_HUMAN,0.94
HAUS2_HUMAN,HAUS8_HUMAN,0.9
MALT1_HUMAN,TRAF6_HUMAN,0.89
AQP1_HUMAN,AQP1_HUMAN,0.87
GRB10_HUMAN,RET_HUMAN,0.89
TOP1_HUMAN,PARP1_HUMAN,0.87
RPC8_HUMAN,RPAC2_HUMAN,0.89
MRRP1_HUMAN,HCD2_HUMAN,0.87
MIS12_HUMAN,NSL1_HUMAN,0.9
MED26_HUMAN,RPAB1_HUMAN,0.86
IL6RB_HUMAN,IL6_HUMAN,0.88
RAD51_HUMAN,WRN_HUMAN,0.87
RFC2_HUMAN,PCNA_HUMAN,0.96
DPCD_HUMAN,RUVB2_HUMAN,0.89
PAXI_HUMAN,FAK2_HUMAN,0.9
RNPS1_HUMAN,U2AF2_HUMAN,0.87
BRD2_HUMAN,H4_HUMAN,0.97
MK07_HUMAN,MEF2D_HUMAN,0.89
TE2IP_HUMAN,RAD50_HUMAN,0.89
NCOA6_HUMAN,PPARG_HUMAN,0.88
BAP1_HUMAN,FOXK1_HUMAN,0.89
SESQ2_HUMAN,OCRL_HUMAN,0.88
COMD1_HUMAN,CUL1_HUMAN,0.86
NOP10_HUMAN,NHP2_HUMAN,0.92
GPSM2_HUMAN,NUMA1_HUMAN,0.89
SELS_HUMAN,TERA_HUMAN,0.89
SNAI1_HUMAN,HDAC2_HUMAN,0.88
BRCA1_HUMAN,CCNA1_HUMAN,0.86
G3BP2_HUMAN,NUFP2_HUMAN,0.87
NC2A_HUMAN,NC2B_HUMAN,0.9
MTMR5_HUMAN,MTMR2_HUMAN,0.88
PRP8_HUMAN,PRP19_HUMAN,0.87
ATX2L_HUMAN,EPOR_HUMAN,0.86
CTF18_HUMAN,RFC3_HUMAN,0.95
TAL1_HUMAN,HDAC2_HUMAN,0.88
NCOA1_HUMAN,THA_HUMAN,0.86
MED9_HUMAN,MED26_HUMAN,0.88
ADA17_HUMAN,MD2L1_HUMAN,0.89
MED25_HUMAN,MED15_HUMAN,0.88
ADA17_HUMAN,DLG1_HUMAN,0.89
PSA1_HUMAN,PSB4_HUMAN,0.97
RFWD2_HUMAN,RFWD2_HUMAN,0.88
SAP30_HUMAN,ING1_HUMAN,0.9
RBX2_HUMAN,CUL5_HUMAN,0.94
SIKE1_HUMAN,FGOP2_HUMAN,0.86
MCM4_HUMAN,ORC2_HUMAN,0.92
CBP_HUMAN,ATF2_HUMAN,0.9
DDB1_HUMAN,CSN5_HUMAN,0.86
RET_HUMAN,STAT3_HUMAN,0.88
CBP_HUMAN,H4_HUMAN,0.9
NEUL4_HUMAN,MK06_HUMAN,0.87
SRBS1_HUMAN,AFAD_HUMAN,0.88
PTC1_HUMAN,SHH_HUMAN,0.96
NCTR2_HUMAN,TYOBP_HUMAN,0.86
CIR1A_HUMAN,NOL11_HUMAN,0.86
TFDP2_HUMAN,E2F4_HUMAN,0.9
TIF1B_HUMAN,TIF1B_HUMAN,0.9
RNPS1_HUMAN,U5S1_HUMAN,0.86
UBXN7_HUMAN,TERA_HUMAN,0.89
